Tool	Purity (bp)	Completeness (bp)	Rand index (bp)	Adjusted Rand index (bp)	Percentage of binned bp
Gold standard	1.0	1.0	1.0	1.0	1.0
MetaBAT 2.13-33 (A1)	0.773	0.393	0.997	0.703	0.406
MetaBAT 2.13-33 (A2)	0.797	0.386	0.998	0.742	0.398
MetaBAT 0.25.4 (A3)	0.448	0.401	0.973	0.166	0.456
MetaBinner 1.0 (B1)	0.799	0.67	0.999	0.744	0.804
MetaBinner 1.0 (B2)	0.801	0.666	0.999	0.75	0.804
MetaBinner 1.0 (B3)	0.817	0.681	0.999	0.766	0.804
Autometa cami2-146383e (C1)	0.641	0.583	0.883	0.029	0.644
Autometa cami2-146383e (C2)	0.559	0.596	0.81	0.017	0.644
MetaWRAP 1.2.3 (D1)	0.706	0.756	0.997	0.502	0.901
UltraBinner 1.0 (E1)	0.886	0.645	0.999	0.876	0.714
MaxBin 2.2.7 (F1)	0.821	0.546	0.999	0.826	0.624
MaxBin 2.0.2 (F2)	0.823	0.545	0.999	0.83	0.621
CONCOCT 1.1.0 (G1)	0.536	0.748	0.996	0.442	0.804
CONCOCT 0.4.1 (G2)	0.533	0.734	0.996	0.472	0.804
Vamb fa045c0 (J1)	0.885	0.615	0.999	0.744	0.702